county_name,censuskey,c14_median_income,c14_trav_time_to_work,c14_total_pop,c14_pct_hispanic,c14_pct_non_hispanic,c14_pct_white,c14_pct_black,c14_pct_asian,c14_pct_multirace,c14_pct_occupation_agriculture,c14_pct_occupation_mining,c14_pct_occupation_manufacturing,c14_pct_occupation_other_svcs,c14_pct_occupation_public_admin,c14_pct_occupation_retail,c14_pct_occupation_wholesale,c14_pct_occupation_armed_forces,c14_pct_occupation_employedcivilian,c14_pct_occupation_unemployedcivilian,c14_pct_occupation_farming,c14_pct_nohsdegree,c14_pct_hsdegree,c14_pct_somecollege,c14_pct_collegedegree,c14_pct_privateschool,c14_pct_publicschool,c14_pop_density_sqmile,c14_pct_renter,c14_pct_owner,c14_pct_multitenant,n_adults
BASTROP,48021,51542,34,1967,33.02,66.97,73.1879487179487,8.06717948717949,0.829230769230769,2.96564102564103,1.24589743589744,0.90025641025641,9.09717948717949,5.75153846153846,10.13,12.2823076923077,1.77538461538462,0.241538461538462,94.4717948717949,5.28692307692308,0.48,19.40,33.43,23.26,18.57,1.11,98.88,356,24.4312820512821,75.5687179487179,7.77,40249
BAYLOR,48023,33123,20,713,14.06,85.93,88.854,2.996,0.286,2.668,9.504,0,0.134,6.95,12.062,14.272,3.026,0,95.87,4.13,3.216,14.28,34.99,20.79,23.07,0.37,99.63,379,27.138,72.862,13.39,2333
BEE,48025,38035,22,1370,62.62,37.37,79.5104166666667,4.4575,0.613333333333333,2.92958333333333,4.54208333333333,4.59875,1.57791666666667,8.69958333333333,21.1429166666667,8.87125,0.5625,0.0345833333333333,93.3195833333333,6.64541666666667,4.85541666666667,28.93,27.69,24.47,13.85,9.61,90.38,1961,32.3391666666667,63.4941666666667,10.74,14313
BELL,48027,47095,20,1751,24.93,75.06,60.0613157894737,20.9654736842105,2.71794736842105,5.16078947368421,0.559947368421053,0.263105263157895,6.42331578947368,4.422,10.1317368421053,11.6962105263158,1.96531578947368,15.3113157894737,78.9915263157895,5.17026315789474,0.183052631578947,12.29,31.33,28.33,21.31,2.37,97.62,2978,49.5806315789474,49.8931052631579,27.61,165068
BEXAR,48029,50318,25,1696,62.59,37.40,72.9133487084871,7.0525,2.03093173431734,3.39870848708487,0.28760147601476,0.36090405904059,6.19417896678967,5.64004612546126,5.0934594095941,11.7399169741697,2.30279520295203,1.43729704797048,92.4137361623616,5.96455719557196,0.198357933579336,20.64,26.21,23.17,21.43,6.61,93.38,5081,38.4437084870849,61.3718173431734,23.54,939197
BLANCO,48031,53541,28,1538,19.80,80.19,87.8257142857143,1.31714285714286,0.678571428571429,2.44142857142857,3.33,0.564285714285714,1.89428571428571,3.38,5.14428571428571,11.8228571428571,0.828571428571429,0,95.3114285714286,4.68857142857143,1.46,11.28,33.33,24.13,24.54,4.76,95.23,133,22.5242857142857,77.4757142857143,7.79,7206
BORDEN,48033,58069,21,619,16.16,83.84,92.41,0.32,0.16,1.94,8.66,6.82,3.67,3.67,9.97,7.35,2.89,0,97.44,2.56,3.41,15.81,45.88,12.47,22.94,0.00,100.00,0,34.38,65.63,0.26,353
BOSQUE,48035,41597,29,1197,16.91,83.08,88.2906666666667,1.982,0.469333333333333,2.13866666666667,3.98866666666667,2.42866666666667,9.70466666666667,5.316,4.56133333333333,8.77533333333333,2.136,0.02,93.9953333333333,5.98466666666667,1.498,21.58,36.09,22.03,15.07,5.92,94.07,597,25.422,74.578,6.27,10778
BOWIE,48037,40043,20,1269,6.76,93.23,65.0705405405405,27.1414864864865,0.875675675675676,2.54513513513513,0.64027027027027,0.44027027027027,7.14581081081081,5.02432432432433,13.7885135135135,13.0741891891892,2.96108108108108,0.212027027027027,92.8483783783784,6.93905405405405,0.863108108108108,14.23,34.20,27.87,16.80,7.25,92.74,1379,35.5135135135135,63.1351351351351,13.77,55038
BRAZORIA,48039,60543,29,1898,31.96,68.03,73.6750847457627,9.79802259887006,2.68242937853107,2.64254237288136,0.606892655367232,1.73112994350282,13.4327683615819,4.29943502824859,4.2661581920904,10.8853107344633,3.27440677966102,0.208418079096045,93.6267796610169,6.16446327683616,0.447118644067797,17.52,28.37,26.35,20.71,3.78,96.21,1802,27.250395480226,72.7496610169491,12.74,180779
BRAZOS,48041,44007,18,1753,26.96,73.03,69.9022881355932,12.1761016949153,5.10508474576271,2.60762711864407,1.7764406779661,0.823220338983051,6.72076271186441,5.64033898305085,2.56694915254237,9.77669491525424,1.93949152542373,0.402203389830508,95.0447457627119,3.70525423728814,0.347372881355932,15.83,22.85,18.93,24.11,7.51,92.48,4218,52.6134745762712,46.5391525423729,34.03,90519
BREWSTER,48043,42675,15,1034,43.95,56.04,86.0022222222222,1.12444444444444,0.914444444444445,2.88444444444444,5.93888888888889,1.51666666666667,4.59111111111111,4.99333333333333,6.07,13.5388888888889,1.36666666666667,0,95.4144444444444,4.58555555555556,2.11666666666667,17.31,21.18,21.49,24.95,42.25,57.74,658,36.1111111111111,63.8888888888889,13.40,6505
BRISCOE,48045,37586,21,1589,28.26,71.74,86.09,2.77,0,2.71,25.26,1.44,2.67,6.78,14.37,7.6,5.54,0,94.2,5.8,11.09,19.75,35.26,21.10,19.75,0.00,100.00,1,21.36,78.64,2.00,999
